Callers,10,Capacity,1
,FCFS 1,,,CF1,,,Greed1
chance,max,total,average,max,total,average,max,total,average
70,2135.0,17779.0,1777.9,2083.0,17323.0,1732.3,2048.0,17223.0,1722.3,
75,2051.0,17095.0,1709.5,1893.0,16287.0,1628.7,1924.0,16469.0,1646.9,
80,2114.0,18937.0,1893.7,1882.0,17245.0,1724.5,1978.0,17638.0,1763.8,
85,2438.0,18680.0,1868.0,2080.0,17092.0,1709.2,2080.0,17092.0,1709.2,
90,2233.0,18583.0,1858.3,1940.0,17717.0,1771.7,1940.0,17717.0,1771.7,
95,2145.0,18556.0,1855.6,1920.0,17451.0,1745.1,1920.0,17451.0,1745.1,


Callers,100,Capacity,10
,FCFS 10,,,CF10,,,Greed10
chance,max,total,average,max,total,average,max,total,average
5,8109.0,470671.0,4706.71,4360.0,276106.0,2761.06,5568.0,391758.0,3917.58,
10,10340.0,603112.0,6031.12,5829.0,401271.0,4012.71,7149.0,498056.0,4980.56,
15,9817.0,603232.0,6032.32,5431.0,415983.0,4159.83,6718.0,484092.0,4840.92,
20,10954.0,634066.0,6340.66,6229.0,447574.0,4475.74,6736.0,486465.0,4864.65,
25,11251.0,635672.0,6356.72,5881.0,435912.0,4359.12,7147.0,493957.0,4939.57,
30,10654.0,619372.0,6193.72,6021.0,445486.0,4454.86,6780.0,485911.0,4859.11,
35,10900.0,627432.0,6274.32,6311.0,453380.0,4533.8,6982.0,481014.0,4810.14,
40,11007.0,646806.0,6468.06,6672.0,476556.0,4765.56,6925.0,489567.0,4895.67,
45,11461.0,654850.0,6548.5,6608.0,475084.0,4750.84,6930.0,496417.0,4964.17,
50,10700.0,639546.0,6395.46,6371.0,460032.0,4600.32,6999.0,485997.0,4859.97,
55,10990.0,641864.0,6418.64,6595.0,471826.0,4718.26,7126.0,495840.0,4958.4,
60,11574.0,667976.0,6679.76,6829.0,491946.0,4919.46,7311.0,514885.0,5148.85,
65,10857.0,618094.0,6180.94,6618.0,461377.0,4613.77,7088.0,482464.0,4824.64,
70,11276.0,655778.0,6557.78,6762.0,465362.0,4653.62,7024.0,479463.0,4794.63,
75,11469.0,663233.0,6632.33,6998.0,492724.0,4927.24,7445.0,515725.0,5157.25,
80,10796.0,634136.0,6341.36,6694.0,462745.0,4627.45,7101.0,478799.0,4787.99,
85,11102.0,643527.0,6435.27,6785.0,483831.0,4838.31,6886.0,490356.0,4903.56,
90,11870.0,697219.0,6972.19,6944.0,501314.0,5013.14,7636.0,536844.0,5368.44,
95,11267.0,650914.0,6509.14,6915.0,477347.0,4773.47,6994.0,482984.0,4829.84,


Callers,1000,Capacity,10
,FCFS 10,,,CF10,,,Greed10
chance,max,total,average,max,total,average,max,total,average
5,65973.0,3.3142959E7,33142.959,24471.0,1.3219709E7,13219.709,41526.0,2.6396488E7,26396.488,
10,87982.0,4.3741776E7,43741.776,35615.0,2.1997144E7,21997.144,50351.0,3.3653957E7,33653.957,
15,94659.0,4.7625185E7,47625.185,40933.0,2.7221653E7,27221.653,54030.0,3.5617877E7,35617.877,
20,96077.0,4.8547469E7,48547.469,41627.0,2.8186957E7,28186.957,54333.0,3.5761794E7,35761.794,
25,97935.0,5.0382455E7,50382.455,44381.0,2.9943143E7,29943.143,55437.0,3.6377223E7,36377.223,
30,101334.0,5.1378421E7,51378.421,45210.0,3.0417777E7,30417.777,56452.0,3.6480416E7,36480.416,
35,99581.0,5.1395522E7,51395.522,46538.0,3.1355573E7,31355.573,56723.0,3.7052106E7,37052.106,
40,103583.0,5.2187613E7,52187.613,47405.0,3.1827316E7,31827.316,58005.0,3.6949589E7,36949.589,
45,102678.0,5.2052976E7,52052.976,47009.0,3.1862784E7,31862.784,57454.0,3.6790035E7,36790.035,
50,99629.0,5.1663377E7,51663.377,47615.0,3.1766642E7,31766.642,55767.0,3.6266133E7,36266.133,
55,103202.0,5.2234783E7,52234.783,49268.0,3.2888263E7,32888.263,57608.0,3.7061944E7,37061.944,
60,102304.0,5.3098336E7,53098.336,48243.0,3.2499236E7,32499.236,57430.0,3.7169786E7,37169.786,
65,104194.0,5.359381E7,53593.81,48973.0,3.3160208E7,33160.208,57883.0,3.7044171E7,37044.171,
70,104146.0,5.3442791E7,53442.791,49834.0,3.3278349E7,33278.349,58733.0,3.7477374E7,37477.374,
75,101777.0,5.162511E7,51625.11,50622.0,3.2987856E7,32987.856,56656.0,3.5891224E7,35891.224,
80,102668.0,5.2475781E7,52475.781,50655.0,3.3419539E7,33419.539,58141.0,3.69059E7,36905.9,
85,102851.0,5.3200241E7,53200.241,50671.0,3.3497317E7,33497.317,57913.0,3.6951435E7,36951.435,
90,103776.0,5.3672752E7,53672.752,49632.0,3.3252682E7,33252.682,57167.0,3.6872137E7,36872.137,
95,104395.0,5.2859036E7,52859.036,50976.0,3.3604177E7,33604.177,58621.0,3.7021446E7,37021.446,


Callers,10,Capacity,100
,FCFS 100,,,CF100,,,Greed100
chance,max,total,average,max,total,average,max,total,average
5,2000.0,16991.0,1699.1,1901.0,16321.0,1632.1,1907.0,16556.0,1655.6,
10,2257.0,19049.0,1904.9,2158.0,17739.0,1773.9,2158.0,17757.0,1775.7,
15,2185.0,18016.0,1801.6,2125.0,17032.0,1703.2,2102.0,16961.0,1696.1,
20,2088.0,18213.0,1821.3,2088.0,17280.0,1728.0,2084.0,17251.0,1725.1,
25,2224.0,17563.0,1756.3,2005.0,16640.0,1664.0,2079.0,16828.0,1682.8,
30,2624.0,19834.0,1983.4,2333.0,18760.0,1876.0,2216.0,18374.0,1837.4,
35,2108.0,18157.0,1815.7,1936.0,17311.0,1731.1,2044.0,17596.0,1759.6,
40,2479.0,19280.0,1928.0,2338.0,18373.0,1837.3,2338.0,18373.0,1837.3,
45,2269.0,18162.0,1816.2,2109.0,17205.0,1720.5,2102.0,17182.0,1718.2,
50,2022.0,17225.0,1722.5,2022.0,16858.0,1685.8,2017.0,16829.0,1682.9,
55,2097.0,17665.0,1766.5,1960.0,16653.0,1665.3,1972.0,16692.0,1669.2,
60,2626.0,20683.0,2068.3,2155.0,19040.0,1904.0,2221.0,19271.0,1927.1,
65,2239.0,19090.0,1909.0,2071.0,18488.0,1848.8,2023.0,18191.0,1819.1,
70,2563.0,20729.0,2072.9,2161.0,18550.0,1855.0,2161.0,18550.0,1855.0,
75,2110.0,18490.0,1849.0,1967.0,17147.0,1714.7,1967.0,17147.0,1714.7,
80,2355.0,19190.0,1919.0,2269.0,18434.0,1843.4,2269.0,18434.0,1843.4,
85,2232.0,18307.0,1830.7,1987.0,17074.0,1707.4,1987.0,17074.0,1707.4,
90,2309.0,20272.0,2027.2,2205.0,18650.0,1865.0,2204.0,18643.0,1864.3,
95,2367.0,19457.0,1945.7,2149.0,18068.0,1806.8,2149.0,18068.0,1806.8,


Callers,100,Capacity,100
,FCFS 100,,,CF100,,,Greed100
chance,max,total,average,max,total,average,max,total,average
5,8322.0,494812.0,4948.12,4315.0,271442.0,2714.42,6135.0,434782.0,4347.82,
10,9766.0,571553.0,5715.53,4271.0,300596.0,3005.96,6183.0,465858.0,4658.58,
15,9618.0,558065.0,5580.65,4215.0,314164.0,3141.64,6246.0,448262.0,4482.62,
20,9643.0,556711.0,5567.11,3947.0,317101.0,3171.01,5943.0,437734.0,4377.34,
25,10380.0,596585.0,5965.85,4266.0,338577.0,3385.77,5763.0,446188.0,4461.88,
30,10172.0,594368.0,5943.68,4534.0,356999.0,3569.99,5879.0,447728.0,4477.28,
35,10512.0,622151.0,6221.51,4718.0,363449.0,3634.49,6045.0,458705.0,4587.05,
40,10268.0,615135.0,6151.35,4822.0,371907.0,3719.07,6259.0,452084.0,4520.84,
45,10024.0,605913.0,6059.13,4558.0,359322.0,3593.22,5847.0,452322.0,4523.22,
50,10798.0,619962.0,6199.62,5239.0,391738.0,3917.38,5980.0,445514.0,4455.14,
55,10024.0,608217.0,6082.17,5078.0,385091.0,3850.91,5849.0,436104.0,4361.04,
60,10183.0,616396.0,6163.96,4903.0,386160.0,3861.6,5720.0,435607.0,4356.07,
65,10041.0,620366.0,6203.66,4732.0,371839.0,3718.39,5804.0,434386.0,4343.86,
70,10784.0,632224.0,6322.24,4566.0,368161.0,3681.61,5742.0,433032.0,4330.32,
75,10357.0,604721.0,6047.21,4734.0,370120.0,3701.2,5739.0,431247.0,4312.47,
80,10085.0,613815.0,6138.15,4880.0,387016.0,3870.16,5472.0,423308.0,4233.08,
85,10495.0,614625.0,6146.25,4837.0,381486.0,3814.86,5664.0,428855.0,4288.55,
90,10538.0,637871.0,6378.71,4948.0,390519.0,3905.19,5617.0,429944.0,4299.44,
95,9924.0,581788.0,5817.88,4888.0,371701.0,3717.01,5564.0,411155.0,4111.55,


Callers,1000,Capacity,100
,FCFS 100,,,CF100,,,Greed100
chance,max,total,average,max,total,average,max,total,average
5,67722.0,3.4663253E7,34663.253,21904.0,1.2987689E7,12987.689,38642.0,2.7742052E7,27742.052,
10,81397.0,4.168013E7,41680.13,17590.0,1.0549404E7,10549.404,43581.0,3.1021934E7,31021.934,
15,86504.0,4.4826251E7,44826.251,18993.0,1.1714473E7,11714.473,45807.0,3.2282287E7,32282.287,
20,89388.0,4.5778089E7,45778.089,22385.0,1.4346278E7,14346.278,45489.0,3.1865641E7,31865.641,
25,88455.0,4.5758131E7,45758.131,22708.0,1.5283716E7,15283.716,45457.0,3.1321454E7,31321.454,
30,89035.0,4.5558659E7,45558.659,22653.0,1.5667188E7,15667.188,44120.0,3.0310913E7,30310.913,
35,90734.0,4.6476689E7,46476.689,22658.0,1.6192514E7,16192.514,43678.0,3.0308469E7,30308.469,
40,90034.0,4.7084212E7,47084.212,24107.0,1.6982629E7,16982.629,43842.0,3.0245075E7,30245.075,
45,90233.0,4.6462888E7,46462.888,23557.0,1.7116173E7,17116.173,42571.0,2.9226563E7,29226.563,
50,90105.0,4.6208103E7,46208.103,24147.0,1.7206158E7,17206.158,42072.0,2.8967916E7,28967.916,
55,92691.0,4.7243723E7,47243.723,23497.0,1.719659E7,17196.59,42432.0,2.9228816E7,29228.816,
60,88393.0,4.5858402E7,45858.402,23683.0,1.7107216E7,17107.216,40803.0,2.8229915E7,28229.915,
65,89171.0,4.5908665E7,45908.665,23408.0,1.7105989E7,17105.989,40446.0,2.7879905E7,27879.905,
70,91400.0,4.6985972E7,46985.972,23985.0,1.7611043E7,17611.043,40280.0,2.7799341E7,27799.341,
75,90617.0,4.6357831E7,46357.831,24627.0,1.806402E7,18064.02,40550.0,2.7817397E7,27817.397,
80,90278.0,4.648778E7,46487.78,24379.0,1.7790672E7,17790.672,39620.0,2.7204446E7,27204.446,
85,90759.0,4.6137941E7,46137.941,24161.0,1.7812082E7,17812.082,39770.0,2.7068747E7,27068.747,
90,90867.0,4.6853709E7,46853.709,24374.0,1.8093007E7,18093.007,39430.0,2.7002701E7,27002.701,
95,91578.0,4.7100914E7,47100.914,25325.0,1.8596802E7,18596.802,39049.0,2.684675E7,26846.75,


